IP Address,Port,Status,Banner,Vulnerability
example.com,80,OPEN,HTTP/1.1 404 Not Found Content-Type: text/html Date: Mon, 11 Nov 2024 04:02:49 GMT Server: ECAcc (nyd/D125) Content-Length: 345,No known vulnerabilities found
example.com,10,CLOSED,,
example.com,8,CLOSED,,
example.com,3,CLOSED,,
example.com,6,CLOSED,,
example.com,9,CLOSED,,
example.com,7,CLOSED,,
example.com,2,CLOSED,,
example.com,4,CLOSED,,
example.com,5,CLOSED,,
example.com,1,CLOSED,,
example.com,16,CLOSED,,
example.com,18,CLOSED,,
example.com,13,CLOSED,,
example.com,15,CLOSED,,
example.com,11,CLOSED,,
example.com,17,CLOSED,,
example.com,20,CLOSED,,
example.com,19,CLOSED,,
example.com,12,CLOSED,,
example.com,14,CLOSED,,
example.com,25,CLOSED,,
example.com,24,CLOSED,,
example.com,22,CLOSED,,
example.com,23,CLOSED,,
example.com,29,CLOSED,,
example.com,27,CLOSED,,
example.com,28,CLOSED,,
example.com,30,CLOSED,,
example.com,21,CLOSED,,
example.com,26,CLOSED,,
example.com,35,CLOSED,,
example.com,34,CLOSED,,
example.com,33,CLOSED,,
example.com,38,CLOSED,,
example.com,39,CLOSED,,
example.com,37,CLOSED,,
example.com,36,CLOSED,,
example.com,40,CLOSED,,
example.com,31,CLOSED,,
example.com,32,CLOSED,,
example.com,41,CLOSED,,
example.com,42,CLOSED,,
example.com,44,CLOSED,,
example.com,43,CLOSED,,
example.com,45,CLOSED,,
example.com,47,CLOSED,,
example.com,50,CLOSED,,
example.com,48,CLOSED,,
example.com,46,CLOSED,,
example.com,49,CLOSED,,
example.com,51,CLOSED,,
example.com,52,CLOSED,,
example.com,55,CLOSED,,
example.com,56,CLOSED,,
example.com,53,CLOSED,,
example.com,54,CLOSED,,
example.com,57,CLOSED,,
example.com,60,CLOSED,,
example.com,58,CLOSED,,
example.com,59,CLOSED,,
example.com,61,CLOSED,,
example.com,62,CLOSED,,
example.com,63,CLOSED,,
example.com,64,CLOSED,,
example.com,65,CLOSED,,
example.com,66,CLOSED,,
example.com,67,CLOSED,,
example.com,68,CLOSED,,
example.com,70,CLOSED,,
example.com,69,CLOSED,,
example.com,71,CLOSED,,
example.com,72,CLOSED,,
example.com,73,CLOSED,,
example.com,75,CLOSED,,
example.com,74,CLOSED,,
example.com,77,CLOSED,,
example.com,76,CLOSED,,
example.com,78,CLOSED,,
example.com,79,CLOSED,,
